"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"130",9,"Josh Jacobs",GB,"RB42","11","4 out of 5","4 out of 5","4 out of 5 stars","-94"
"131",9,"Juwan Johnson",NO,"TE15","8","4 out of 5","2 out of 5","2 out of 5 stars","+19"
"132",9,"Mark Andrews",BAL,"TE16","13","4 out of 5","4 out of 5","4 out of 5 stars","-5"
"133",9,"Jordyn Tyson",NO,"WR54","8","3 out of 5","5 out of 5","3 out of 5 stars","+9"
"134",9,"Woody Marks",HOU,"RB43","8","3 out of 5","4 out of 5","4 out of 5 stars","0"
"135",9,"De'Zhaun Stribling",SF,"WR55","8","4 out of 5","4 out of 5","2 out of 5 stars","-23"
"136",9,"Tyler Allgeier",ARI,"RB44","14","3 out of 5","4 out of 5","2 out of 5 stars","+7"
"137",9,"Sam Darnold",SEA,"QB22","11","2 out of 5","4 out of 5","4 out of 5 stars","+46"
"138",9,"Tyjae Spears",TEN,"RB45","9","3 out of 5","4 out of 5","3 out of 5 stars","+6"
"139",9,"Chris Rodriguez Jr.",JAC,"RB46","7","3 out of 5","4 out of 5","4 out of 5 stars","-3"
"140",9,"C.J. Stroud",HOU,"QB23","8","3 out of 5","4 out of 5","4 out of 5 stars","+42"
"141",9,"Deebo Samuel Sr.",SF,"WR56","8","4 out of 5","4 out of 5","2 out of 5 stars","-11"
"142",9,"Daniel Jones",IND,"QB24","13","4 out of 5","4 out of 5","4 out of 5 stars","+35"
"143",9,"Rashid Shaheed",SEA,"WR57","11","3 out of 5","4 out of 5","3 out of 5 stars","+2"
"144",9,"Dylan Sampson",CLE,"RB47","11","4 out of 5","2 out of 5","3 out of 5 stars","+30"
"145",9,"Keaton Mitchell",LAC,"RB48","7","4 out of 5","3 out of 5","3 out of 5 stars","+14"
"146",9,"Zach Charbonnet",SEA,"RB49","11","3 out of 5","4 out of 5","4 out of 5 stars","-5"
"147",9,"Denzel Boston",CLE,"WR58","11","4 out of 5","4 out of 5","3 out of 5 stars","+20"
"148",9,"Cam Ward",TEN,"QB25","9","4 out of 5","4 out of 5","3 out of 5 stars","+65"
"149",9,"Jonah Coleman",DEN,"RB50","10","4 out of 5","4 out of 5","2 out of 5 stars","+12"
"150",9,"Chig Okonkwo",WAS,"TE17","7","4 out of 5","4 out of 5","1 out of 5 stars","+47"
"151",9,"Brenton Strange",JAC,"TE18","7","4 out of 5","3 out of 5","3 out of 5 stars","+4"
"152",9,"Dalton Schultz",HOU,"TE19","8","4 out of 5","2 out of 5","4 out of 5 stars","+26"
"153",9,"Tre Tucker",LV,"WR59","13","4 out of 5","2 out of 5","2 out of 5 stars","+18"
"154",9,"Houston Texans",HOU,"DST1","8","-","-","2 out of 5 stars","-54"
"155",9,"Isiah Pacheco",DET,"RB51","6","3 out of 5","4 out of 5","5 out of 5 stars","-1"
"156",9,"Hunter Henry",NE,"TE20","11","2 out of 5","4 out of 5","4 out of 5 stars","0"
"157",9,"Alvin Kamara",NO,"RB52","8","3 out of 5","4 out of 5","3 out of 5 stars","0"
"158",9,"Tyrone Tracy Jr.",NYG,"RB53","8","2 out of 5","5 out of 5","4 out of 5 stars","+33"
"159",9,"Adonai Mitchell",NYJ,"WR60","13","4 out of 5","4 out of 5","4 out of 5 stars","+72"
"160",10,"Mike Washington Jr.",LV,"RB54","13","4 out of 5","4 out of 5","2 out of 5 stars","-22"
"161",10,"Bryce Young",CAR,"QB26","5","2 out of 5","4 out of 5","2 out of 5 stars","+67"
"162",10,"Tank Bigsby",PHI,"RB55","10","4 out of 5","4 out of 5","4 out of 5 stars","+7"
"163",10,"Denver Broncos",DEN,"DST2","10","-","-","4 out of 5 stars","-47"
"164",10,"Jerry Jeudy",CLE,"WR61","11","1 out of 5","4 out of 5","3 out of 5 stars","+15"
"165",10,"Braelon Allen",NYJ,"RB56","13","2 out of 5","4 out of 5","3 out of 5 stars","+34"
"166",10,"Jauan Jennings",MIN,"WR62","6","2 out of 5","4 out of 5","5 out of 5 stars","+40"
"167",10,"Los Angeles Rams",LAR,"DST3","11","-","-","2 out of 5 stars","-49"
"168",10,"Jalen McMillan",TB,"WR63","10","4 out of 5","4 out of 5","4 out of 5 stars","+37"
"169",10,"Seattle Seahawks",SEA,"DST4","11","-","-","2 out of 5 stars","-46"
"170",10,"Kayshon Boutte",HOU,"WR64","8","3 out of 5","4 out of 5","3 out of 5 stars","+33"
"171",10,"Tre' Harris",LAC,"WR65","7","4 out of 5","2 out of 5","2 out of 5 stars","+64"
"172",10,"Brian Robinson Jr.",ATL,"RB57","11","2 out of 5","4 out of 5","2 out of 5 stars","-8"
"173",10,"Philadelphia Eagles",PHI,"DST5","10","-","-","0 out of 5 stars","-33"
"174",10,"Dontayvion Wicks",PHI,"WR66","10","4 out of 5","4 out of 5","4 out of 5 stars","+81"
"175",10,"Omar Cooper Jr.",NYJ,"WR67","13","4 out of 5","4 out of 5","4 out of 5 stars","+47"
"176",10,"Ryan Flournoy",DAL,"WR68","14","4 out of 5","3 out of 5","2 out of 5 stars","+88"
"177",10,"T.J. Hockenson",MIN,"TE21","6","3 out of 5","4 out of 5","4 out of 5 stars","-12"
"178",10,"Brandon Aubrey",DAL,"K1","14","5 out of 5","1 out of 5","2 out of 5 stars","-81"
"179",10,"Pat Bryant",DEN,"WR69","10","3 out of 5","4 out of 5","2 out of 5 stars","+97"
"180",10,"Pittsburgh Steelers",PIT,"DST6","9","-","-","5 out of 5 stars","-29"
"181",10,"New England Patriots",NE,"DST7","11","-","-","3 out of 5 stars","-28"
"182",10,"Minnesota Vikings",MIN,"DST8","6","-","-","1 out of 5 stars","-22"
"183",10,"Jacoby Brissett",ARI,"QB27","14","2 out of 5","5 out of 5","2 out of 5 stars","+60"
"184",10,"Ray Davis",BUF,"RB58","7","4 out of 5","4 out of 5","2 out of 5 stars","+39"
"185",10,"Jalen Nailor",LV,"WR70","13","-","-","2 out of 5 stars","+19"
"186",10,"Emmett Johnson",KC,"RB59","5","4 out of 5","4 out of 5","3 out of 5 stars","+14"
"187",10,"Malik Washington",MIA,"WR71","6","3 out of 5","4 out of 5","3 out of 5 stars","+33"
"188",10,"Jacksonville Jaguars",JAC,"DST9","7","-","-","3 out of 5 stars","-15"
"189",10,"Cameron Dicker",LAC,"K2","7","5 out of 5","1 out of 5","2 out of 5 stars","-58"
"190",10,"Ka'imi Fairbairn",HOU,"K3","8","5 out of 5","1 out of 5","2 out of 5 stars","-58"
"191",10,"Travis Hunter",JAC,"WR72","7","3 out of 5","4 out of 5","4 out of 5 stars","+25"
"192",10,"Keenan Allen",IND,"WR73","13","3 out of 5","3 out of 5","4 out of 5 stars","-30"
"193",10,"Los Angeles Chargers",LAC,"DST10","7","-","-","3 out of 5 stars","-18"
"194",10,"Kimani Vidal",LAC,"RB60","7","1 out of 5","4 out of 5","3 out of 5 stars","+45"
"195",10,"Baltimore Ravens",BAL,"DST11","13","-","-","5 out of 5 stars","-37"
"196",10,"Cam Little",JAC,"K4","7","-","-","4 out of 5 stars","-47"
"197",10,"Terrance Ferguson",LAR,"TE22","11","4 out of 5","4 out of 5","4 out of 5 stars","+4"
"198",10,"Calvin Ridley",TEN,"WR74","9","2 out of 5","4 out of 5","3 out of 5 stars","-5"
"199",10,"Jason Myers",SEA,"K5","11","4 out of 5","1 out of 5","4 out of 5 stars","-64"
"200",10,"AJ Barner",SEA,"TE23","11","4 out of 5","2 out of 5","3 out of 5 stars","+8"
"201",10,"Jaylin Noel",HOU,"WR75","8","4 out of 5","3 out of 5","3 out of 5 stars","+71"
"202",11,"Sean Tucker",TB,"RB61","10","3 out of 5","4 out of 5","2 out of 5 stars","+43"
"203",11,"Oronde Gadsden II",LAC,"TE24","7","3 out of 5","4 out of 5","4 out of 5 stars","+15"
"204",11,"Kansas City Chiefs",KC,"DST12","5","-","-","3 out of 5 stars","+5"
"205",11,"Tyler Loop",BAL,"K6","13","-","-","3 out of 5 stars","-21"
"206",11,"Eddy Pineiro",SF,"K7","8","4 out of 5","1 out of 5","5 out of 5 stars","-21"
"207",11,"Green Bay Packers",GB,"DST13","11","-","-","2 out of 5 stars","-21"
"208",11,"Nicholas Singleton",TEN,"RB62","9","3 out of 5","4 out of 5","3 out of 5 stars","+30"
"209",11,"Aaron Rodgers",PIT,"QB28","9","2 out of 5","4 out of 5","2 out of 5 stars","+27"
"210",11,"Gunnar Helm",TEN,"TE25","9","3 out of 5","4 out of 5","3 out of 5 stars","+63"
"211",11,"Kenyon Sadiq",NYJ,"TE26","13","4 out of 5","4 out of 5","4 out of 5 stars","-41"
"212",11,"Jake Bates",DET,"K8","6","4 out of 5","2 out of 5","5 out of 5 stars","-49"
"213",11,"James Conner",ARI,"RB63","14","3 out of 5","4 out of 5","2 out of 5 stars","+2"
"214",11,"Tank Dell",HOU,"WR76","8","4 out of 5","4 out of 5","3 out of 5 stars","-33"
"215",11,"Geno Smith",NYJ,"QB29","13","2 out of 5","4 out of 5","4 out of 5 stars","+160"
"216",11,"Cairo Santos",CHI,"K9","10","3 out of 5","3 out of 5","0 out of 5 stars","-22"
"217",11,"Evan McPherson",CIN,"K10","6","4 out of 5","2 out of 5","2 out of 5 stars","-30"
"218",11,"Cooper Kupp",SEA,"WR77","11","2 out of 5","4 out of 5","3 out of 5 stars","-29"
"219",11,"Darnell Mooney",NYG,"WR78","8","3 out of 5","4 out of 5","4 out of 5 stars","+75"
"220",11,"Rashod Bateman",BAL,"WR79","13","3 out of 5","4 out of 5","4 out of 5 stars","+55"
"221",11,"Isaac TeSlaa",DET,"WR80","6","3 out of 5","4 out of 5","4 out of 5 stars","+40"
"222",11,"Detroit Lions",DET,"DST14","6","-","-","5 out of 5 stars","-46"
"223",11,"Troy Franklin",DEN,"WR81","10","1 out of 5","5 out of 5","2 out of 5 stars","+64"
"224",11,"Chase McLaughlin",TB,"K11","10","4 out of 5","2 out of 5","3 out of 5 stars","-7"
"225",11,"Harrison Mevis",LAR,"K12","11","4 out of 5","2 out of 5","2 out of 5 stars","-57"
"226",11,"Buffalo Bills",BUF,"DST15","7","-","-","3 out of 5 stars","-34"
"227",11,"Andy Borregales",NE,"K13","11","-","-","1 out of 5 stars","+5"
"228",11,"Pat Freiermuth",PIT,"TE27","9","3 out of 5","3 out of 5","2 out of 5 stars","+14"
"229",11,"Kaytron Allen",WAS,"RB64","7","2 out of 5","4 out of 5","4 out of 5 stars","+18"
"230",11,"Cleveland Browns",CLE,"DST16","11","-","-","5 out of 5 stars","-32"
"231",11,"Emanuel Wilson",SEA,"RB65","11","2 out of 5","4 out of 5","4 out of 5 stars","+68"
"232",11,"Germie Bernard",PIT,"WR82","9","2 out of 5","4 out of 5","3 out of 5 stars","+46"
"233",11,"Ja'Kobi Lane",BAL,"WR83","13","4 out of 5","4 out of 5","4 out of 5 stars","-61"
"234",11,"Cade Otton",TB,"TE28","10","2 out of 5","4 out of 5","2 out of 5 stars","+6"
"235",11,"Antonio Williams",WAS,"WR84","7","4 out of 5","2 out of 5","2 out of 5 stars","+34"
"236",11,"Greg Dulcich",MIA,"TE29","6","4 out of 5","4 out of 5","5 out of 5 stars","-22"
"237",11,"Zachariah Branch",ATL,"WR85","11","2 out of 5","4 out of 5","3 out of 5 stars","+22"
"238",11,"Jaylen Wright",MIA,"RB66","6","-","-","3 out of 5 stars","+12"
"239",11,"Chris Bell",MIA,"WR86","6","3 out of 5","4 out of 5","3 out of 5 stars","+7"
"240",11,"Caleb Douglas",MIA,"WR87","6","3 out of 5","4 out of 5","3 out of 5 stars","-16"
"241",11,"Kaelon Black",SF,"RB67","8","3 out of 5","4 out of 5","2 out of 5 stars","-39"
"242",11,"Justice Hill",BAL,"RB68","13","-","-","3 out of 5 stars","-21"
"243",11,"George Holani",SEA,"RB69","11","3 out of 5","4 out of 5","4 out of 5 stars","+25"
"244",11,"Malachi Fields",NYG,"WR88","8","4 out of 5","4 out of 5","4 out of 5 stars","-10"
"245",11,"Jack Bech",LV,"WR89","13","3 out of 5","4 out of 5","2 out of 5 stars","+48"
"246",11,"Keon Coleman",BUF,"WR90","7","2 out of 5","4 out of 5","4 out of 5 stars","+46"
"247",11,"Harrison Butker",KC,"K14","5","-","-","5 out of 5 stars","-67"
"248",11,"Evan Engram",DEN,"TE30","10","-","-","4 out of 5 stars","+107"
"249",11,"Jaydon Blue",FA,"RB70","-","4 out of 5","4 out of 5","-","-22"
"250",11,"Chris Boswell",PIT,"K15","9","4 out of 5","2 out of 5","4 out of 5 stars","-40"
"251",11,"David Njoku",LAC,"TE31","7","4 out of 5","4 out of 5","4 out of 5 stars","-40"
"252",12,"Fernando Mendoza",LV,"QB30","13","4 out of 5","3 out of 5","1 out of 5 stars","-27"
"253",12,"Devaughn Vele",NO,"WR91","8","2 out of 5","4 out of 5","3 out of 5 stars","0"
"254",12,"Ted Hurst III",TB,"WR92","10","4 out of 5","4 out of 5","4 out of 5 stars","+34"
"255",12,"Chimere Dike",TEN,"WR93","9","1 out of 5","5 out of 5","3 out of 5 stars","+7"
"256",12,"Najee Harris",NYG,"RB71","8","2 out of 5","4 out of 5","4 out of 5 stars","-19"
"257",12,"Demond Claiborne",MIN,"RB72","6","3 out of 5","4 out of 5","4 out of 5 stars","+52"
"258",12,"Ollie Gordon II",MIA,"RB73","6","3 out of 5","4 out of 5","3 out of 5 stars","+142"
"259",12,"Elic Ayomanor",TEN,"WR94","9","1 out of 5","5 out of 5","3 out of 5 stars","+55"
"260",12,"Isaiah Davis",NYJ,"RB74","13","2 out of 5","4 out of 5","3 out of 5 stars","+359"
"261",12,"Ty Johnson",BUF,"RB75","7","-","-","2 out of 5 stars","+222"
"262",12,"LeQuint Allen Jr.",JAC,"RB76","7","2 out of 5","4 out of 5","4 out of 5 stars","+152"
"263",12,"Cyrus Allen",KC,"WR95","5","4 out of 5","4 out of 5","2 out of 5 stars","-67"
